Class,Count,Avg Width,Avg Height,Brightness,Contrast,Variance,Edge Density
butterfly,2112,364.55,280.42,118.82,66.84,3114.92,75.66
cat,1668,473.16,364.57,128.14,61.59,3859.69,57.36
chicken,3098,288.3,239.36,119.84,59.76,3527.45,98.06
cow,1866,294.18,212.75,119.05,61.92,3635.24,97.46
dog,4863,283.57,241.09,123.7,61.89,3243.1,78.6
elephant,1446,377.62,274.92,125.18,60.7,3319.45,91.59
horse,2623,287.95,233.47,119.99,63.94,3676.25,88.83
sheep,1820,363.05,263.37,114.0,58.03,2908.77,90.1
spider,4821,311.14,247.83,131.83,51.95,2103.81,74.22
squirrel,1862,287.84,224.65,112.62,56.16,2929.88,87.27
